가수명,곡명,음원순위,초동음반,뮤비조회,스포티파이 월간청취자 수 (만명),소속 그룹,활동상태
이성종 ,The one,1000위 밖,9900장,223만 (3주차),0.0,인피니트,
DK ,GROOVIN,1000위밖,8633장,225만 (3주차),1.0,아이콘,
방용국 ,Ride or die,1000위 밖,3200장,226만 (3주차),4.0,B.A.P,
기욱 ,내 영혼에 Scratch,1000위 밖,2500장,227만 (3주차),0.0,원위,
천지 ,기억의 책장,1000위 밖,100장,8.4만 (3주차),0.0,틴탑,
정대현 ,나비란,1000위 밖,34500장,87만 (3주차),4.0,B.A.P,
유영재 ,FOREVER LOVE,1000위 밖,900장,230만 (3주차),0.0,B.A.P,
신수현 ,소주의 요정,1000위 밖,560장,1만 (3주차),2.0,유키스,
ABLE ,FEELING,1000위 밖,XXX,232만 (3주차),1.0,하이라이트,
제이창 ,HIGHER,1000위 밖,???,16만 (3주차),9.0,원팩트,
BM ,Freak,1000위 밖,???,27만 (3주차),11.0,카드,
이동열 ,DRIP DROP,1000위 밖,???,101만 (3주차),0.0,업텐션,
구준회 ,나홀로,1000위 밖,4290장,21만 (3주차),5.0,아이콘,
윤서빈 ,Strawberry Candy,1000위 밖,485장,104만 (3주차),2.0,,
임슬옹, Rainbow Light,1000위 밖,400장,22만 (3주차),5.0,2AM,
배진영 ,Round&Round,1000위 밖,6100장,4만 (3주차),1.0,CIX,
장동우 ,Sway,1000위 밖,9200장,5만 (3주차),0.0,인피니트,
임시완 ,The Reason,1000위 밖,7690장,23만 (3주차),11.0,제국의아이들,
래빈 ,사랑하고 싶지 않아,1000위 밖,???,48만 (3주차),1.0,나인아이,
신원호 ,Warzone,1000위 밖,XXX,188만 (3주차),0.0,크로스진,
제이셉 ,EASY,1000위 밖,XXX,32만(3주차),2.0,KARD,
에반,Ride or die,371위,XXX,1300만 (3주차),243.0,엔하이픈,
